name,url,rating,location,city,area,cuisine,price,reviews,restaurant_type,num_ratings,online_delivery,table_booking,avg_cost_for_two,is_delivering_now,switch_to_order_menu
85°C Bakery Cafe,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.6,"Saket, Delhi",Delhi,Saket,Cafe,Low,1609,Cafe,1992,Yes,No,349.0,No,Yes
Applebee's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.7,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,1424,Casual Dining,2702,No,No,566.0,No,No
Arby's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.2,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,High,3384,Fine Dining,3690,No,No,1352.0,No,No
Auntie Anne's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.0,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Restaurant,Medium,1731,Casual Dining,3521,Yes,Yes,1106.0,No,Yes
Barista,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.6,"Saket, Delhi",Delhi,Saket,Restaurant,Medium,3900,Casual Dining,4612,Yes,No,947.0,Yes,Yes
Baton Rouge,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.5,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Low,1013,Fast Food,1122,Yes,No,122.0,Yes,Yes
BeaverTails,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.2,"Saket, Delhi",Delhi,Saket,Restaurant,Low,2668,Fast Food,1531,No,Yes,214.0,No,No
Big Smoke Burger,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.7,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Fast Food,High,2387,Fine Dining,1868,No,Yes,2301.0,No,No
Bonchon Chicken,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.3,"Fort Kochi, Kochi",Kochi,Fort Kochi,Fast Food,Low,1669,Fast Food,3330,No,No,344.0,No,No
Buffalo Wild Wings,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.2,"Rohini, Delhi",Delhi,Rohini,Restaurant,Medium,2503,Casual Dining,1886,Yes,Yes,831.0,Yes,Yes
Burger King,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.6,"Rohini, Delhi",Delhi,Rohini,Fast Food,High,2835,Fine Dining,1276,No,Yes,1944.0,No,No
Cafe Coffee Day,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.5,"Fort Kochi, Kochi",Kochi,Fort Kochi,Cafe,Low,2409,Cafe,461,Yes,No,225.0,Yes,Yes
Carl's Jr.,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.5,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,High,2161,Fine Dining,3021,No,Yes,1385.0,No,No
Charleys Philly Steaks,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.1,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,1531,Fine Dining,485,No,Yes,1220.0,No,No
Chatime,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.4,"Rohini, Delhi",Delhi,Rohini,Restaurant,High,4364,Fine Dining,788,No,Yes,1847.0,No,No
Chick-fil-A,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.2,"Fort Kochi, Kochi",Kochi,Fort Kochi,Restaurant,Medium,2576,Casual Dining,495,Yes,Yes,1106.0,Yes,Yes
Chili's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.2,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Medium,2408,Casual Dining,2424,Yes,No,708.0,Yes,Yes
Chipotle Mexican Grill,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.5,"Rohini, Delhi",Delhi,Rohini,Restaurant,Medium,3749,Casual Dining,1428,Yes,Yes,940.0,Yes,Yes
Church's Chicken,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.5,"Kakkanad, Kochi",Kochi,Kakkanad,Fast Food,Medium,542,Casual Dining,992,No,Yes,859.0,No,No
Cora,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.1,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,Medium,2372,Casual Dining,3043,Yes,No,635.0,No,Yes
Costa Coffee,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.6,"Andheri, Mumbai",Mumbai,Andheri,Cafe,High,203,Cafe,2679,No,No,1767.0,No,No
Crepes & Waffles,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.4,"Banashankari, Bangalore",Bangalore,Banashankari,Restaurant,High,905,Fine Dining,570,No,No,2118.0,No,No
Dairy Queen,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.7,"Rohini, Delhi",Delhi,Rohini,Restaurant,Low,4643,Fast Food,3067,Yes,No,334.0,Yes,Yes
Délifrance,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.2,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,Medium,1734,Casual Dining,343,Yes,No,844.0,Yes,Yes
Denny's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.6,"Colaba, Mumbai",Mumbai,Colaba,Restaurant,Medium,3857,Casual Dining,1843,Yes,Yes,626.0,No,Yes
Din Tai Fung,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.9,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Medium,4553,Casual Dining,2695,No,No,937.0,No,No
Dindigul Thalappakatti,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.2,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,Medium,1874,Casual Dining,2522,Yes,Yes,778.0,Yes,Yes
Dôme,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.8,"Rohini, Delhi",Delhi,Rohini,Restaurant,High,147,Fine Dining,1346,No,Yes,1948.0,No,No
Domino's Pizza,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.2,"Colaba, Mumbai",Mumbai,Colaba,Italian,High,3979,Fine Dining,1042,No,No,1376.0,No,No
Dunkin' Donuts,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.9,"Kakkanad, Kochi",Kochi,Kakkanad,Dessert,Low,3330,Dessert,3343,Yes,No,197.0,Yes,Yes
Earls Kitchen + Bar,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.6,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,188,Fine Dining,538,No,Yes,1692.0,No,No
East Side Mario's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.2,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,Medium,4467,Casual Dining,1977,Yes,Yes,1070.0,Yes,Yes
Five Guys,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.1,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,Medium,1341,Casual Dining,864,Yes,Yes,1058.0,No,Yes
Freshly Chopped,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.7,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Restaurant,Medium,1103,Casual Dining,1655,Yes,Yes,996.0,Yes,Yes
Gloria Jean's Coffees,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.9,"Kakkanad, Kochi",Kochi,Kakkanad,Cafe,Low,1131,Cafe,1746,No,Yes,261.0,No,No
Hamburguesas El Corral,https://en.wikipedia.org/wiki/List_of_restaurant_chains,5.0,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,High,491,Fine Dining,1690,No,Yes,2189.0,No,No
Hard Rock Cafe,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.4,"Andheri, Mumbai",Mumbai,Andheri,Cafe,Low,3823,Cafe,1433,No,No,207.0,No,No
Hardee's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.8,"Saket, Delhi",Delhi,Saket,Restaurant,Low,429,Fast Food,486,Yes,No,352.0,Yes,Yes
Harvey's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.7,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Restaurant,Low,3083,Fast Food,658,Yes,No,100.0,No,Yes
Hooters,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.9,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Restaurant,High,4515,Fine Dining,2924,No,Yes,2069.0,No,No
IHOP,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.1,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,High,169,Fine Dining,1807,No,Yes,1887.0,No,No
Jack Astor's Bar and Grill,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.5,"Rohini, Delhi",Delhi,Rohini,Restaurant,Low,1747,Fast Food,2248,Yes,No,277.0,Yes,Yes
Jack in the Box,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.9,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,High,4706,Fine Dining,1149,Yes,Yes,1455.0,Yes,Yes
Jimmy John's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.6,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,Medium,4448,Casual Dining,222,No,No,946.0,No,No
Joe & The Juice,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.4,"Indiranagar, Bangalore",Bangalore,Indiranagar,Restaurant,High,4034,Fine Dining,767,Yes,Yes,1434.0,Yes,Yes
Jollibee,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.3,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,Low,1169,Fast Food,372,Yes,No,320.0,Yes,Yes
Juan Valdez Cafe,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.7,"Fort Kochi, Kochi",Kochi,Fort Kochi,Cafe,Low,4506,Cafe,2877,Yes,No,223.0,Yes,Yes
The Keg,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.6,"Andheri, Mumbai",Mumbai,Andheri,Restaurant,Medium,2800,Casual Dining,1673,Yes,Yes,479.0,Yes,Yes
Kenny Rogers Roasters,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.1,"Connaught Place, Delhi",Delhi,Connaught Place,Restaurant,Medium,1909,Casual Dining,3994,Yes,Yes,823.0,Yes,Yes
KFC,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.3,"Andheri, Mumbai",Mumbai,Andheri,Fast Food,High,1046,Fine Dining,830,No,Yes,2157.0,No,No
Krispy Kreme,https://en.wikipedia.org/wiki/List_of_restaurant_chains,3.4,"palarivattom, Kochi",Kochi,palarivattom,Restaurant,Low,1516,Fast Food,890,No,No,381.0,No,No
Little Caesars,https://en.wikipedia.org/wiki/List_of_restaurant_chains,2.6,"Navi Mumbai, Mumbai",Mumbai,Navi Mumbai,Restaurant,High,2232,Fine Dining,1385,No,Yes,1564.0,No,No
Long John Silver's,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.6,"Whitefield, Bangalore",Bangalore,Whitefield,Restaurant,Medium,2410,Casual Dining,2652,Yes,Yes,520.0,Yes,Yes
Louisa Coffee,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.5,"Indiranagar, Bangalore",Bangalore,Indiranagar,Cafe,Medium,2666,Cafe,2603,No,No,1076.0,No,No
Loving Hut,https://en.wikipedia.org/wiki/List_of_restaurant_chains,4.1,"Kakkanad, Kochi",Kochi,Kakkanad,Restaurant,Low,956,Fast Food,3266,Yes,No,366.0,Yes,Yes
